country,year,rank,notes
Algeria,1982,5
Algeria,1986,6
Algeria,2010,6
Algeria,2014,5
Angola,2006,6
Argentina,1930,2
Argentina,1934,5
Argentina,1958,5
Argentina,1962,5
Argentina,1966,4
Argentina,1974,5
Argentina,1978,1,beat the Netherlands 3-1
Argentina,1982,5
Argentina,1986,1,beat West Germany 3-1
Argentina,1990,2
Argentina,1994,5
Argentina,1998,4
Argentina,2002,6
Argentina,2006,4
Argentina,2010,4
Argentina,2014,2
Argentina,2018,6
Australia,1974,5
Australia,2006,5
Australia,2010,6
Australia,2014,6
Australia,2018,6
Austria,1934,3
Austria,1938,5
Austria,1954,3
Austria,1958,5
Austria,1978,5
Austria,1982,5
Austria,1990,6
Austria,1998,6
Belgium,1930,5
Belgium,1934,5
Belgium,1938,5
Belgium,1954,5
Belgium,1970,5
Belgium,1982,5
Belgium,1986,3
Belgium,1990,5
Belgium,1994,5
Belgium,1998,6
Belgium,2002,5
Belgium,2014,4
Belgium,2018,6
Bolivia,1930,5
Bolivia,1950,5
Bolivia,1994,6
Bosnia and Herzegovina,2014,6
Brazil,1930,5
Brazil,1934,5
Brazil,1938,3
Brazil,1950,5
Brazil,1954,4
Brazil,1958,1,beat Sweden 5-2
Brazil,1962,1,defeated Czechoslovakia 3–1
Brazil,1966,5
Brazil,1970,1,beat Italy 4-1
Brazil,1974,3
Brazil,1978,5
Brazil,1982,5
Brazil,1986,4
Brazil,1990,5
Brazil,1994,1,beat Italy 3-2 in a penalty shootout
Brazil,1998,2
Brazil,2002,1,defeated Germany 2-0
Brazil,2006,4
Brazil,2010,4
Brazil,2014,3
Brazil,2018,6
Bulgaria,1962,5
Bulgaria,1966,5
Bulgaria,1970,5
Bulgaria,1974,5
Bulgaria,1986,5
Bulgaria,1994,3
Bulgaria,1998,6
Cameroon,1982,5
Cameroon,1990,4
Cameroon,1994,6
Cameroon,1998,6
Cameroon,2002,6
Cameroon,2010,6
Cameroon,2014,6
Canada,1986,6
Chile,1930,5
Chile,1950,5
Chile,1962,3
Chile,1966,5
Chile,1974,5
Chile,1982,5
Chile,1998,5
Chile,2010,5
Chile,2014,5
China PR,2002,6
Colombia,1962,5
Colombia,1990,5
Colombia,1994,6,After the group round, where captain Andres Escobar scored an own-goal against the US, Escobar was murdered in his home country, shot six times in the back.
Colombia,1998,6
Colombia,2014,4
Colombia,2018,6
Costa Rica,1990,5
Costa Rica,2002,6
Costa Rica,2006,6
Costa Rica,2014,4
Costa Rica,2018,6
Croatia,1998,3
Croatia,2002,6
Croatia,2006,6
Croatia,2014,6
Croatia,2018,6
Cuba,1938,4
Czech Republic,2006,6
Czechoslovakia,1934,2
Czechoslovakia,1938,4
Czechoslovakia,1954,5
Czechoslovakia,1958,5
Czechoslovakia,1962,2
Czechoslovakia,1970,5
Czechoslovakia,1982,5
Czechoslovakia,1990,4
Denmark,1986,5
Denmark,1998,4
Denmark,2002,5
Denmark,2010,6
Denmark,2018,6
Dutch East Indies,1938,5
East Germany,1974,5
Ecuador,2002,6
Ecuador,2006,5
Ecuador,2014,6
Egypt,1934,5
Egypt,1990,6
Egypt,2018,6
El Salvador,1970,5
El Salvador,1982,5
England,1950,5
England,1954,4
England,1958,5
England,1962,4
England,1966,1,beat West Germany 4–2
England,1970,4
England,1982,5
England,1986,4,This was the game that included the "Hand of God" goal, scored by Diego Maradona Argentina.
England,1990,3
England,1998,5
England,2002,4
England,2006,4
England,2010,5
England,2014,6
England,2018,6
France,1930,5
France,1934,5
France,1938,4
France,1954,5
France,1958,3
France,1966,5
France,1978,5
France,1982,3,Frenchman Patrick Battiston lost two teeth after being knocked to the ground by West Germany's keeper, Toni Schumacher.
France,1986,3
France,1998,1,beat Brazil 3-0
France,2002,6
France,2006,2
France,2010,6
France,2014,4
France,2018,6
Germany,1934,3
Germany,1938,5
Germany,1994,4
Germany,1998,4
Germany,2002,2
Germany,2006,3
Germany,2010,3
Germany,2014,1,beat Argentina 1-0
Germany,2018,6
Ghana,2006,5
Ghana,2010,4
Ghana,2014,6
Greece,1994,6
Greece,2010,6
Greece,2014,5
Haiti,1974,5
Honduras,1982,5
Honduras,2010,6
Honduras,2014,6
Hungary,1934,4
Hungary,1938,2
Hungary,1954,2
Hungary,1958,5
Hungary,1962,4
Hungary,1966,4
Hungary,1978,5
Hungary,1982,5
Hungary,1986,6
Iceland,2018,6
India,1950,5
Iran,1978,5
Iran,1998,6
Iran,2006,6
Iran,2014,6
Iran,2018,6
Iraq,1986,6
Israel,1970,5
